,id,is_jj,min_id,max_id,is_continue,is_continue_break,min_price,max_price,price_count,start_time,end_time,max_vol,min_vol,sum_vol,avg_vol,max_sale_vol,max_buy_vol,id_count,tran_type0,tran_type1,tran_type2
0,35,1,1,1,-1,0,30.73,30.73,1,09:25:00,09:25:00,400,400,400,400.0,400,400,1,,推动追买,
1,51,1,2,8,1,0,30.73,30.73,1,09:25:00,09:25:00,1000,100,3000,428.57142857142856,1000,3000,7,,普通挂买,
2,92,1,9,13,1,0,30.73,30.73,1,09:25:00,09:25:00,400,100,1200,240.0,500,1200,5,,普通挂买,
3,771,1,14,14,-1,0,30.73,30.73,1,09:25:00,09:25:00,100,100,100,100.0,1000,100,1,,普通挂买,
4,2189,1,15,30,1,0,30.73,30.73,1,09:25:00,09:25:00,3500,100,13800,862.5,3500,13800,16,,普通挂买,
5,5820,1,31,32,1,0,30.73,30.73,1,09:25:00,09:25:00,300,200,500,250.0,6000,500,2,,普通挂买,
6,6602,1,33,63,1,0,30.73,30.73,1,09:25:00,09:25:00,16300,100,44800,1445.1612903225807,16300,44800,31,,普通挂买,
7,7675,1,64,65,1,0,30.73,30.73,1,09:25:00,09:25:00,1400,1000,2400,1200.0,5400,2400,2,,普通挂买,
8,8696,1,66,67,1,0,30.73,30.73,1,09:25:00,09:25:00,4400,800,5200,2600.0,5400,5200,2,,普通挂买,
9,10557,1,68,117,1,0,30.73,30.73,1,09:25:00,09:25:00,8800,100,58800,1176.0,8800,58800,50,,普通挂买,
10,15215,1,118,118,-1,0,30.73,30.73,1,09:25:00,09:25:00,200,200,200,200.0,1000,200,1,,普通挂买,
11,16523,1,119,119,-1,0,30.73,30.73,1,09:25:00,09:25:00,100,100,100,100.0,1000,100,1,,普通挂买,
12,17278,1,120,121,1,0,30.73,30.73,1,09:25:00,09:25:00,600,200,800,400.0,1000,800,2,,普通挂买,
13,19672,1,122,122,-1,0,30.73,30.73,1,09:25:00,09:25:00,100,100,100,100.0,700,100,1,,普通挂买,
14,21754,1,123,127,1,0,30.73,30.73,1,09:25:00,09:25:00,1400,100,2000,400.0,6200,2000,5,,普通挂买,
15,26129,1,128,128,-1,0,30.73,30.73,1,09:25:00,09:25:00,500,500,500,500.0,6200,500,1,,普通挂买,
16,27839,1,129,129,-1,0,30.73,30.73,1,09:25:00,09:25:00,500,500,500,500.0,6200,500,1,,普通挂买,
