代码	名称	流通股(亿)
601288	农业银行	2940.55
601398	工商银行	2696.12
601988	中国银行	2107.66
601857	中国石油	1619.22
600028	中国石化	955.58
601668	中国建筑	412.54
601818	光大银行	398.11
601328	交通银行	392.51
600016	民生银行	354.62
000725	京东方Ａ	338.61
601998	中信银行	319.05
600010	包钢股份	316.77
600000	浦发银行	281.04
601766	中国中车	243.28
600018	上港集团	231.74
000166	申万宏源	225.36
600019	宝钢股份	221.56
600900	长江电力	220
600050	中国联通	215
601628	中国人寿	208.24
600036	招商银行	206.29
600795	国电电力	196.5
601899	紫金矿业	196.4
601166	兴业银行	196.15
000001	平安银行	194.06
601390	中国中铁	186.37
601989	中国重工	182.84
601169	北京银行	182.48
601618	中国中冶	178.53
603993	洛阳钼业	176.66
601088	中国神华	164.91
600221	海航控股	164.36
601985	中国核电	155.65
601006	大秦铁路	148.67
002027	分众传媒	146.78
600023	浙能电力	136.01
601229	上海银行	135.96
601018	宁波港	131.73
601600	中国铝业	130.79
600015	华夏银行	128.23
000100	TCL科技	126.6
000617	中油资本	126.42
600157	永泰能源	124.26
600606	绿地控股	121.68
600871	石化油服	120.43
600219	南山铝业	119.5
600048	保利地产	119.34
601800	中国交建	117.47
600104	上汽集团	116.83
601186	中国铁建	115.03
600919	江苏银行	114.3
601669	中国电建	111.44
600011	华能国际	109.98
600022	山东钢铁	109.47
601727	上海电气	108.91
601318	中国平安	108.33
000709	河钢股份	106.17
000630	铜陵有色	105.26
601258	ST庞大	102.27
601225	陕西煤业	100
601991	大唐发电	99.94
601111	中国国航	99.62
600030	中信证券	98.15
600115	东方航空	98.08
000002	万 科Ａ	97.15
601939	建设银行	95.94
601933	永辉超市	94.68
601898	中煤能源	91.52
600705	中航资本	89.43
600025	华能水电	89.28
600170	上海建工	89.04
603077	和邦生物	88.31
601919	中远海控	86.57
600208	新湖中宝	85.98
601009	南京银行	84.82
600031	三一重工	84.64
601216	君正集团	84.38
601005	重庆钢铁	83.8
601992	金隅集团	83.34
601901	方正证券	82.32
002736	国信证券	82
600027	华电国际	81.46
600029	南方航空	81.12
600297	广汇汽车	81.1
002415	海康威视	80.95
600837	海通证券	80.92
000898	鞍钢股份	79.94
601866	中远海发	79.32
001979	招商蛇口	79.22
600236	桂冠电力	78.82
002024	苏宁易购	77.75
601880	大连港	77.36
601211	国泰君安	75.16
000629	攀钢钒钛	74.64
600999	招商证券	74.22
601212	白银有色	74.05
601688	华泰证券	73.58
600688	上海石化	73.29
000069	华侨城Ａ	70.37
000425	徐工机械	69.95
002475	立讯精密	69.82
000540	中天金融	69.73
601601	中国太保	68.45
000333	美的集团	68.34
601099	太平洋	68.16
600886	国投电力	67.86
600256	广汇能源	67.54
600578	京能电力	67.47
601377	兴业证券	66.97
600166	福田汽车	65.75
300059	东方财富	65.47
601106	中国一重	65.38
000883	湖北能源	65.05
600317	营口港	64.73
601881	中国银河	64.46
000157	中联重科	64.17
600690	海尔智家	63.09
600307	酒钢宏兴	62.63
601228	广州港	61.93
601238	广汽集团	60.85
601633	长城汽车	60.28
000651	格力电器	59.7
600808	马钢股份	59.68
601000	唐山港	59.26
000776	广发证券	59.19
600887	伊利股份	59
002493	荣盛石化	58.16
600863	内蒙华电	58.09
002131	利欧股份	57.87
000825	太钢不锈	56.96
600008	首创股份	56.85
600958	东方证券	56.77
601333	广深铁路	56.52
600369	西南证券	56.45
002195	二三四五	56.44
002142	宁波银行	56.21
601319	中国人保	56.02
600339	中油工程	55.83
000783	长江证券	55.3
002505	大康农业	54.85
000750	国海证券	54.45
600415	小商品城	54.43
000792	*ST盐湖	54.29
601872	招商轮船	52.99
600276	恒瑞医药	52.96
000656	金科股份	52.87
600816	*ST安信	52.64
000046	泛海控股	51.75
601179	中国西电	51.26
002506	协鑫集成	50.74
000959	首钢股份	50.57
600926	杭州银行	50.22
002252	上海莱士	49.72
601117	中国化学	49.33
000413	东旭光电	48.64
300498	温氏股份	48.46
600350	山东高速	48.11
601158	重庆水务	48
000027	深圳能源	47.57
600346	恒力石化	46.32
600177	雅戈尔	46.29
600839	四川长虹	46.14
600068	葛洲坝	46.05
600567	山鹰纸业	45.96
600642	申能股份	45.52
600959	江苏有线	45.27
600383	金地集团	45.15
600390	五矿资本	44.98
002429	兆驰股份	44.96
600282	南钢股份	44.45
600583	海油工程	44.21
600398	海澜之家	44.2
600518	ST康美	44.09
600674	川投能源	44.02
601718	际华集团	43.92
002610	爱康科技	43.86
002352	顺丰控股	43.82
300433	蓝思科技	43.68
601608	中信重工	43.39
600497	驰宏锌锗	43.1
600704	物产中大	43.07
000627	天茂集团	43.03
600438	通威股份	42.88
601118	海南橡胶	42.79
000982	*ST 中绒	42.62
000338	潍柴动力	42.45
